id,subcategory,title,price,popularity
5499,tablet,Dell Venue 8 3000 Series 16GB (Wi-Fi 3G),13686,242
2595,mobile,Lenovo A800,5796,241
2737,mobile,Samsung REX 70 S3802,4022,241
3061,mobile,Huawei Ascend P6,16032,241
4008,mobile,Oppo Find 5 Mini,11972,241
4448,smart-watches,Sony SmartWatch,4992,241
4523,tablet,Swipe 3D Life Tab X74 4GB (Wi-Fi 3G),3144,241
19,mobile,BlackBerry Curve 3G 9300,8990,240
2997,tablet,Samsung Galaxy Tab 3 8.0,13999,240
5308,mobile,BSNL  My Phone 42,2849,240
6884,tablet,IBall 6351-Q40i,3999,240
7060,mobile,Samsung E1270 Flip,2499,240
6166,mobile,Zen Ultrafone 402,3528,239
